fiveTuple,srcIP,dstIP,protocol,srcPort,dstPort,flowDuration,flowLength,fwdFlowLength,bwdFlowLength,packetSizeTotal,packetSizeMean,packetSizeStd,packetSizeMin,packetSizeMax,fwdPacketSizeTotal,bwdPacketSizeTotal,fwdPacketSizeMean,bwdPacketSizeMean,fwdPacketSizeStd,bwdPacketSizeStd,fwdPacketSizeMin,bwdPacketSizeMin,fwdPacketSizeMax,bwdPacketSizeMax,IATMean,IATStd,IATMin,IATMax,fwdIATTotal,bwdIATTotal,fwdIATMean,bwdIATMean,fwdIATStd,bwdIATStd,fwdIATMin,bwdIATMin,fwdIATMax,bwdIATMax
173.241.240.143--192.168.1.191--TCP--443(https)--57672,192.168.1.191,173.241.240.143,TCP,57672,443(https),21905602173.000000,18.000000,0.000000,18.000000,1941.000000,107.833333,137.569477,54.000000,626.000000,0.000000,1941.000000,107.833333,107.833333,0.000000,137.569477,0.000000,54.000000,0.000000,626.000000,1288564000.000000,3248426000.000000,15501.000000,10423998677.000000,0.000000,21905602173.000000,0.000000,1288564000.000000,0.000000,3248426000.000000,0.000000,15501.000000,0.000000,10423998677.000000
192.168.1.191--95.100.189.33--TCP--42802--443(https),95.100.189.33,192.168.1.191,TCP,443(https),42802,1224420003.000000,18.000000,0.000000,18.000000,15094.000000,838.555556,691.495820,66.000000,1514.000000,0.000000,15094.000000,838.555556,838.555556,0.000000,691.495820,0.000000,66.000000,0.000000,1514.000000,72024000.000000,165702000.000000,12982.000000,669730933.000000,0.000000,1224420003.000000,0.000000,72024000.000000,0.000000,165702000.000000,0.000000,12982.000000,0.000000,669730933.000000
192.168.1.191--216.24.224.53--TCP--53398--443(https),216.24.224.53,192.168.1.191,TCP,443(https),53398,12686640844.000000,39.000000,0.000000,39.000000,30276.000000,776.307692,628.531343,66.000000,1434.000000,0.000000,30276.000000,776.307692,776.307692,0.000000,628.531343,0.000000,66.000000,0.000000,1434.000000,333858000.000000,1618286000.000000,5429.000000,10113052423.000000,0.000000,12686640844.000000,0.000000,333858000.000000,0.000000,1618286000.000000,0.000000,5429.000000,0.000000,10113052423.000000
54.72.229.222--192.168.1.191--TCP--443(https)--60880,192.168.1.191,54.72.229.222,TCP,60880,443(https),8591280239.000000,15.000000,0.000000,15.000000,3824.000000,254.933333,408.848051,54.000000,1514.000000,0.000000,3824.000000,254.933333,254.933333,0.000000,408.848051,0.000000,54.000000,0.000000,1514.000000,613662000.000000,2002131000.000000,9359.000000,7850319711.000000,0.000000,8591280239.000000,0.000000,613662000.000000,0.000000,2002131000.000000,0.000000,9359.000000,0.000000,7850319711.000000
23.74.200.157--192.168.1.191--TCP--443(https)--43740,192.168.1.191,23.74.200.157,TCP,43740,443(https),12760460409.000000,24.000000,0.000000,24.000000,2280.000000,95.000000,85.483429,54.000000,443.000000,0.000000,2280.000000,95.000000,95.000000,0.000000,85.483429,0.000000,54.000000,0.000000,443.000000,554802000.000000,2047211000.000000,5338.000000,9999561621.000000,0.000000,12760460409.000000,0.000000,554802000.000000,0.000000,2047211000.000000,0.000000,5338.000000,0.000000,9999561621.000000
108.168.152.61--192.168.1.191--TCP--443(https)--45956,192.168.1.191,108.168.152.61,TCP,45956,443(https),3916993767.000000,19.000000,0.000000,19.000000,2875.000000,151.315789,195.095133,54.000000,609.000000,0.000000,2875.000000,151.315789,151.315789,0.000000,195.095133,0.000000,54.000000,0.000000,609.000000,217610000.000000,304079000.000000,8386.000000,1172246323.000000,0.000000,3916993767.000000,0.000000,217610000.000000,0.000000,304079000.000000,0.000000,8386.000000,0.000000,1172246323.000000
192.168.1.191--185.33.220.38--TCP--55354--80(http),185.33.220.38,192.168.1.191,TCP,80(http),55354,20089531299.000000,29.000000,0.000000,29.000000,17931.000000,618.310345,618.581475,66.000000,1514.000000,0.000000,17931.000000,618.310345,618.310345,0.000000,618.581475,0.000000,66.000000,0.000000,1514.000000,717483000.000000,1997277000.000000,5988.000000,10482385766.000000,0.000000,20089531299.000000,0.000000,717483000.000000,0.000000,1997277000.000000,0.000000,5988.000000,0.000000,10482385766.000000
192.168.1.191--67.217.177.30--TCP--40952--80(http),67.217.177.30,192.168.1.191,TCP,80(http),40952,15808384699.000000,83.000000,0.000000,83.000000,57021.000000,687.000000,641.367346,66.000000,1514.000000,0.000000,57021.000000,687.000000,687.000000,0.000000,641.367346,0.000000,66.000000,0.000000,1514.000000,192785000.000000,674822000.000000,6054.000000,5758184893.000000,0.000000,15808384699.000000,0.000000,192785000.000000,0.000000,674822000.000000,0.000000,6054.000000,0.000000,5758184893.000000
192.168.1.191--23.219.91.56--TCP--47774--80(http),23.219.91.56,192.168.1.191,TCP,80(http),47774,6556465833.000000,28.000000,0.000000,28.000000,34487.000000,1231.678571,525.378643,66.000000,1514.000000,0.000000,34487.000000,1231.678571,1231.678571,0.000000,525.378643,0.000000,66.000000,0.000000,1514.000000,242832000.000000,1190767000.000000,6592.000000,6317599042.000000,0.000000,6556465833.000000,0.000000,242832000.000000,0.000000,1190767000.000000,0.000000,6592.000000,0.000000,6317599042.000000
172.217.23.227--192.168.1.191--TCP--80(http)--36228,192.168.1.191,172.217.23.227,TCP,36228,80(http),1677667895.000000,42.000000,0.000000,42.000000,3616.000000,86.095238,127.428749,66.000000,902.000000,0.000000,3616.000000,86.095238,86.095238,0.000000,127.428749,0.000000,66.000000,0.000000,902.000000,40918000.000000,144810000.000000,6172.000000,909775056.000000,0.000000,1677667895.000000,0.000000,40918000.000000,0.000000,144810000.000000,0.000000,6172.000000,0.000000,909775056.000000
